Threshold,Start,End
0,2003-12-31T22:00:00.000Z,2004-02-01T15:00:00.000Z
0,2004-02-01T22:00:00.000Z,2004-02-04T04:00:00.000Z
0,2004-02-05T18:00:00.000Z,2004-02-06T11:00:00.000Z
0,2004-02-07T13:00:00.000Z,2004-02-14T03:00:00.000Z
0,2004-02-14T16:00:00.000Z,2004-02-14T16:00:00.000Z
0,2004-02-14T21:00:00.000Z,2004-02-15T09:00:00.000Z
0,2004-02-15T11:00:00.000Z,2004-02-21T03:00:00.000Z
0,2004-02-21T15:00:00.000Z,2004-02-23T10:00:00.000Z
0,2004-02-23T12:00:00.000Z,2004-02-26T09:00:00.000Z
0,2004-02-26T14:00:00.000Z,2004-03-07T07:00:00.000Z
0,2004-03-07T21:00:00.000Z,2004-03-08T05:00:00.000Z
0,2004-03-08T15:00:00.000Z,2004-03-09T07:00:00.000Z
0,2004-03-09T19:00:00.000Z,2004-03-10T05:00:00.000Z
0,2004-03-10T15:00:00.000Z,2004-03-11T06:00:00.000Z
0,2004-03-11T15:00:00.000Z,2004-03-12T05:00:00.000Z
0,2004-03-12T16:00:00.000Z,2004-03-13T04:00:00.000Z
0,2004-03-13T18:00:00.000Z,2004-03-13T18:00:00.000Z
0,2004-03-13T22:00:00.000Z,2004-03-14T04:00:00.000Z
0,2004-03-18T21:00:00.000Z,2004-03-19T05:00:00.000Z
0,2004-03-24T03:00:00.000Z,2004-03-24T04:00:00.000Z
0,2004-03-26T15:00:00.000Z,2004-03-27T08:00:00.000Z
0,2004-03-27T15:00:00.000Z,2004-03-27T19:00:00.000Z
0,2004-03-28T01:00:00.000Z,2004-03-28T01:00:00.000Z
0,2004-03-28T17:00:00.000Z,2004-03-29T04:00:00.000Z
0,2004-03-31T19:00:00.000Z,2004-04-01T06:00:00.000Z
0,2004-04-01T09:00:00.000Z,2004-04-01T09:00:00.000Z
0,2004-04-01T11:00:00.000Z,2004-04-02T06:00:00.000Z
0,2004-04-02T14:00:00.000Z,2004-04-03T03:00:00.000Z
0,2004-04-03T16:00:00.000Z,2004-04-04T02:00:00.000Z
0,2004-04-04T18:00:00.000Z,2004-04-05T02:00:00.000Z
0,2004-04-08T23:00:00.000Z,2004-04-09T01:00:00.000Z
0,2004-04-10T00:00:00.000Z,2004-04-10T00:00:00.000Z
0,2004-04-10T18:00:00.000Z,2004-04-11T04:00:00.000Z
0,2004-04-12T00:00:00.000Z,2004-04-12T01:00:00.000Z
0,2004-04-12T19:00:00.000Z,2004-04-13T02:00:00.000Z
0,2004-04-13T17:00:00.000Z,2004-04-14T02:00:00.000Z
0,2004-04-22T23:00:00.000Z,2004-04-23T01:00:00.000Z
